Are you helping to raise your teammates' standards in at least one area?	Culture	Yes|No|I don't know.||	0
Has your manager set goals for your team?	Manager	Yes|No|I'm not sure.||	0
How clear are the goals your manager has set for your team?	Manager	Extremely clear|Very clear|Moderately clear|Slightly clear|Not clear at all	0
How open is your manager to constructive feedback?	Manager	Extremely open|Very open|Somewhat open|Slightly open|Not at all open	0
In the last month, I learned a new skill at work.	Not Categorized	Yes|No|||	Career, Growth
Overall, how satisfied are you with your job right now?	Engagement	Extremely Satisfied|Very Satisfied|Moderately Satisfied|Slightly Satisfied|Not at all Satisfied	0
I am aware of actions taken by my leaders based on my Connections feedback.	Not Categorized	Strongly Agree|Agree|Neither Agree nor Disagree|Disagree|Strongly Disagree	0
If you have a problem at work, how quickly does your manager help you solve it?	Manager	Very quickly|Quickly|Neither slowly nor quickly|Slowly|Very slowly	0
If you have a problem at work, how quickly does your manager help you solve it?	Manager	Very quickly|Quickly|Neither slowly nor quickly|Slowly|Very slowly	0
Overall, how satisfied are you with your teammates right now?	Team	Extremely Satisfied|Very Satisfied|Moderately Satisfied|Slightly Satisfied|Not at all Satisfied	0
How good is your manager at helping you develop your strengths and skills?	Manager	Excellent|Above average|Average|Below average|Poor	0
Overall, how satisfied are you with your manager right now?	Manager	Extremely Satisfied|Very Satisfied|Moderately Satisfied|Slightly Satisfied|Not at all Satisfied	0
My job is a good fit for my skills.	Work Environment	Strongly Agree|Agree|Neither Agree nor Disagree|Disagree|Strongly Disagree	0
How good is your manager at helping you develop your strengths and skills?	Manager	Excellent|Above average|Average|Below average|Poor	0
I have a clear understanding of what is expected of me.	Work Environment	Strongly Agree|Agree|Neither Agree nor Disagree|Disagree|Strongly Disagree	0
How helpful is your manager's feedback?	Manager	Extremely helpful|Very helpful|Somewhat helpful|Slightly helpful|Not at all helpful	0
When you have something to contribute, do you feel like your voice is heard?	Culture	Always|Usually|Sometimes|Rarely|Never	0
The last time I discussed a new idea at work, we focused on	Culture	Possibilities|Limitations|I've never discussed a new idea at work.|I don't remember.|	0
Overall, how satisfied are you with your job right now?	Engagement	Extremely Satisfied|Very Satisfied|Moderately Satisfied|Slightly Satisfied|Not at all Satisfied	0
How satisfied are you with the amount of recognition your manager gives you?	Manager	Very satisfied|Satisfied|Neither satisfied nor dissatisfied|Dissatisfied|Very dissatisfied	0
Are you inspired by the work you do at Sapient?	Engagement	Always|Usually|Sometimes|Rarely|Never	Motivation
Do you receive recognition for work well done?	Engagement	Always|Usually|Sometimes|Rarely|Never	0
Have you asked for help from your HR team recently?	Not Categorized	Yes|No|||	0
How would you rate your manager at helping your team solve problems at work?	Manager	Excellent|Above average|Average|Below average|Poor	0
I know who to talk to if I have a problem at work.	Work Environment	Always|Usually|Sometimes|Rarely|Never	0
How would you rate your manager at helping your team solve problems at work?	Manager	Excellent|Above average|Average|Below average|Poor	0
If you have a problem at work, are you comfortable confiding in your HR team?	Not Categorized	Almost always|Usually|Sometimes|Rarely|Almost never	0
When my manager talks about a project's scope of difficulty, they typically:	Culture	Underestimate it|Have realistic expectations about it|Overestimate it|We don't talk about the scope of difficulty.|	0
When my teammates talk about a project's scope of difficulty, they typically:	Culture	Underestimate it|Have realistic expectations about it|Overestimate it|We don't talk about the scope of difficulty.|	0
How often do you feel excited when you accomplish something at work?	Engagement	Always|Usually|Sometimes|Rarely|Never	Motivation, Pride
Overall, how satisfied are you with your manager right now?	Manager	Extremely Satisfied|Very Satisfied|Moderately Satisfied|Slightly Satisfied|Not at all Satisfied	0
How often does your manager encourage you to try out new ideas?	Manager	Always|Usually|Sometimes|Rarely|Never	0
In the last month, how often did you sacrifice quality to meet work deadlines?	Culture	0-20% of the time|20-40% of the time|40-60% of the time|60-80% of the time|80-100% of the time	0
Over the past week, how often have you felt overwhelmed at work?	Engagement	Never|Rarely|Some of the time|Most of the time|All of the time	0
How respectful is your manager of employees?	Manager	Very respectful|Respectful|Neither respectful nor disrespectful|Disrespectful|Very disrespectful	0
Do your teammates know how to keep Sapient & Sapient's Clients intellectual property and data safe?	Team	Yes|Sometimes|No|I don't know.|	0
Would more training be beneficial for your teammates?	Team	Yes|No|||	0
For what area of information security would you want more training/information?	Work Environment	Working with external parties|Setting up permissions|Discussing confidential work in public spaces|Working with and storing customer data|Something else	0
Do you find your work to be a positive challenge?	Engagement	Always|Usually|Sometimes|Rarely|Never	Motivation
Do you continue to find interesting things in your work?	Engagement	Always|Usually|Sometimes|Rarely|Never	0
How responsive is your manager to concerns about the team's workload?	Manager	Very responsive|Responsive|Neither unresponsive nor responsive|Unresponsive|Very unresponsive	0
What percentage of your time is dedicated to projects that interest you?	Engagement	0-20%|20-40%|40-60%|60-80%|80-100%	Motivation
Do you understand how your work contributes to company goals?	Culture	Always|Usually|Sometimes|Rarely|Never	0
Do you think strong performers are motivated to stay at Sapient?	Culture	Yes, always|Yes, most of the time|Yes, sometimes|Yes, but rarely|No, never	0
Are your opinions heard at work?	Culture	Always|Usually|Sometimes|Rarely|Never	0
Are you encouraged to suggest alternative ways to solve problems?	Culture	Always|Usually|Sometimes|Rarely|Never	0
How open is your manager about their opportunities to improve as a manager?	Manager	Extremely open|Very open|Somewhat open|Slightly open|Not at all open	0
How well does your manager handle stress?	Manager	Very well|Well|Somewhat well|Slightly well|Not at all well	0
Do you find your job challenging in a good way?	Engagement	Always|Usually|Sometimes|Rarely|Never	Motivation
Have you asked for help from your HR team recently?	Not Categorized	Yes|No|||	0
Is HR available when you need them?	Not Categorized	Always|Usually|Sometimes|Rarely|Never	0
How much importance does your manager place on helping you develop your skills?	Manager	A great deal|A lot|A moderate amount|A little|None at all	0
Overall, how satisfied are you with your teammates right now?	Team	Extremely Satisfied|Very Satisfied|Moderately Satisfied|Slightly Satisfied|Not at all Satisfied	0
How many hours did it take you to complete the last document you worked on?	Culture	0-10 hours|10-30 hours |30-60 hours|More than 60 hours|I have never worked on a document. 	0
Of those hours, what percentage helped refine the ideas in the document?	Culture	80-100%|60-80%|40-60%|20-40%|0-20%	0
Of the following, which would most improve the quality of your document writing?	Culture	More reviews|More time|Clearer expectations on required content|More coaching and training on document writing|More opportunities to write documents	0
How many iterations did it take to complete the last document you worked on?	Culture	1-2 iterations|2-10 iterations|10-20 iterations|More than 20 iterations|I have never worked on a document.	0
How many of those iterations helped refine the ideas in the document?	Culture	All|Most|Some|A few|None	0
When were you last involved in writing a document at work?	Culture	In the last 7 days|In the last 30 days|In the last 90 days|More than 90 days ago|Never	0
What kind of document was it?	Culture	PR/FAQ|WBR/MBR/QBR|One-page narrative|Six-page narrative|Something else	0
Overall, how satisfied are you with your job right now?	Engagement	Extremely Satisfied|Very Satisfied|Moderately Satisfied|Slightly Satisfied|Not at all Satisfied	0
How satisfied are you with the frequency of your manager's feedback?	Manager	Very satisfied|Satisfied|Neither dissatisfied nor satisfied|Dissatisfied|Very dissatisfied	0
How satisfied are you with the quality of your manager's communications?	Manager	Very satisfied|Satisfied|Neither dissatisfied nor satisfied|Dissatisfied|Very dissatisfied	0
Are you interested in the work that you do?	Engagement	Always|Usually|Sometimes|Rarely|Never	Motivation
How often do you feel valued for the strengths you bring to your team?	Team	Always|Usually|Sometimes|Rarely|Never	Inclusion, Recognition
Which of the following would make you feel more valued for your strengths?	Team	More recognition|More opportunities to showcase my skills|Having greater responsibilities|A job more aligned to my strengths|Something else	Inclusion, Recognition
How good is your manager at helping you understand the value of your work?	Manager	Excellent|Above average|Average|Below average|Poor	0
Overall, how satisfied are you with your manager right now?	Manager	Extremely Satisfied|Very Satisfied|Moderately Satisfied|Slightly Satisfied|Not at all Satisfied	0
I think the percent chance I'll transfer teams within 12 months is:	Engagement	0-10%|10-25%|25-50%|50-75%|75-100%	0
If you were to transfer teams, which would be your primary reason?	Engagement	Career opportunities|Role fit|Manager or team fit|Work-life balance|Other	0
How good is your manager at showing they care about your team?	Manager	Excellent|Above Average|Average|Below Average|Poor	0
Do you feel valued at Sapient?	Engagement	Always|Usually|Sometimes|Rarely|Never	Recognition
Do your teammates speak up equally during meetings?	Team	Almost always|Usually|Sometimes|Rarely|Almost never	0
How helpful is your manager when your team runs into problems?	Manager	Extremely helpful|Very helpful|Somewhat helpful|Slightly helpful|Not at all helpful	0
How good is your manager at keeping you engaged in your work?	Manager	Excellent|Above Average|Average|Below Average|Poor	0
How good is your manager at identifying problems?	Manager	Excellent|Above average|Average|Below average|Poor	0
Do you feel motivated at work?	Engagement	Always|Usually|Sometimes|Rarely|Never	Motivation
Why did you choose not to answer this question?	Not Categorized	I don't feel comfortable answering this question.|This question doesn't apply to me.|I don't have time to answer a question right now.|I don't have an opinion about this question.|I don't understand the question.	0
How well does your manager challenge you to exceed your own expectations?	Manager	Very well|Well|Somewhat well|Slightly well|Not at all well	0
Do you like your job?	Engagement	Always|Usually|Sometimes|Rarely|Never	0
Have you requested support from your HR team recently?	Not Categorized	Yes|No|||	0
How satisfied are you with the amount of recognition your manager gives you?	Manager	Very satisfied|Satisfied|Neither satisfied nor dissatisfied|Dissatisfied|Very dissatisfied	0
